epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
8,480.851,1.55106,0.9896,1.28967,0.84396,0.82035,0.8915,0.52498,1.47197,0.92512,1.25399,0.0008614,0.0008614,0.0008614
9,540.496,1.52786,0.96448,1.27113,0.87883,0.82281,0.90504,0.52433,1.49314,0.81237,1.26643,0.0008416,0.0008416,0.0008416
10,601.801,1.50697,0.94439,1.26579,0.89219,0.84494,0.91789,0.52494,1.50673,0.80374,1.2537,0.0008218,0.0008218,0.0008218
11,661.384,1.48389,0.91209,1.24874,0.88565,0.86149,0.92208,0.50989,1.53039,0.80667,1.27062,0.000802,0.000802,0.000802
12,721.208,1.45848,0.89782,1.23598,0.85664,0.84076,0.89577,0.56217,1.32846,0.76852,1.19548,0.0007822,0.0007822,0.0007822
13,780.69,1.45085,0.88961,1.22603,0.91764,0.86394,0.93683,0.58028,1.3734,0.73782,1.19543,0.0007624,0.0007624,0.0007624
14,841.018,1.43064,0.86471,1.21906,0.93444,0.87514,0.9454,0.60884,1.29666,0.66304,1.15897,0.0007426,0.0007426,0.0007426
15,900.489,1.40865,0.84155,1.2055,0.93333,0.87927,0.94341,0.56521,1.43691,0.69784,1.21216,0.0007228,0.0007228,0.0007228
16,960.416,1.39713,0.83062,1.20061,0.92062,0.87614,0.93814,0.6106,1.27278,0.68991,1.16348,0.000703,0.000703,0.000703
17,1019.92,1.40033,0.82912,1.20546,0.93963,0.89088,0.95176,0.6201,1.26869,0.6366,1.14213,0.0006832,0.0006832,0.0006832
18,1080.1,1.38569,0.81724,1.19668,0.92779,0.90158,0.95111,0.57126,1.43987,0.68136,1.2183,0.0006634,0.0006634,0.0006634
19,1139.37,1.36409,0.79661,1.18115,0.94338,0.90561,0.962,0.62585,1.26866,0.6249,1.14309,0.0006436,0.0006436,0.0006436
20,1199.19,1.35017,0.77926,1.17837,0.93498,0.90982,0.96086,0.62605,1.26159,0.61828,1.13753,0.0006238,0.0006238,0.0006238
21,1259.24,1.34024,0.77634,1.17051,0.92635,0.9179,0.95994,0.64292,1.22425,0.59402,1.12897,0.000604,0.000604,0.000604
22,1318.68,1.31356,0.76093,1.1577,0.94852,0.905,0.96297,0.6506,1.20787,0.58813,1.11278,0.0005842,0.0005842,0.0005842
23,1378.8,1.31894,0.75771,1.16013,0.9589,0.90807,0.96535,0.6642,1.17055,0.57616,1.10299,0.0005644,0.0005644,0.0005644
24,1438.73,1.31817,0.74694,1.16013,0.9494,0.91684,0.96628,0.64481,1.21627,0.59345,1.11426,0.0005446,0.0005446,0.0005446
25,1498.2,1.29537,0.73271,1.14857,0.94474,0.91188,0.9645,0.65943,1.18525,0.585,1.10988,0.0005248,0.0005248,0.0005248
26,1558.1,1.28865,0.72141,1.14861,0.95577,0.92502,0.96834,0.66288,1.18267,0.57538,1.10983,0.000505,0.000505,0.000505
27,1617.67,1.27312,0.7164,1.14011,0.95607,0.91684,0.96902,0.67667,1.15245,0.55213,1.09138,0.0004852,0.0004852,0.0004852
28,1677.87,1.27655,0.7141,1.13674,0.95811,0.92772,0.97255,0.66825,1.17495,0.55726,1.09657,0.0004654,0.0004654,0.0004654
29,1737.46,1.25346,0.6978,1.12963,0.95191,0.91673,0.97119,0.6679,1.15327,0.56416,1.08909,0.0004456,0.0004456,0.0004456
30,1796.72,1.26174,0.70057,1.13008,0.95747,0.92413,0.97198,0.67544,1.16134,0.54898,1.09634,0.0004258,0.0004258,0.0004258
31,1856.26,1.2529,0.69066,1.12583,0.96321,0.92772,0.97352,0.69245,1.10863,0.53317,1.07522,0.000406,0.000406,0.000406
32,1916.07,1.22558,0.67919,1.11727,0.96814,0.92596,0.97607,0.70016,1.07852,0.52333,1.05644,0.0003862,0.0003862,0.0003862
33,1975.66,1.23146,0.67159,1.11515,0.96281,0.92652,0.97223,0.69083,1.11087,0.52924,1.06337,0.0003664,0.0003664,0.0003664
34,2035.4,1.21125,0.66065,1.10729,0.97088,0.94035,0.97957,0.70803,1.0627,0.50267,1.05119,0.0003466,0.0003466,0.0003466
35,2094.67,1.20289,0.65939,1.10659,0.96954,0.93825,0.97856,0.68343,1.13684,0.51316,1.07108,0.0003268,0.0003268,0.0003268
36,2154.36,1.19713,0.65151,1.1021,0.9591,0.93895,0.97773,0.69864,1.07054,0.50926,1.05554,0.000307,0.000307,0.000307
37,2214.36,1.1977,0.64788,1.09766,0.96654,0.9407,0.98046,0.70846,1.0622,0.49601,1.04688,0.0002872,0.0002872,0.0002872
38,2274.05,1.18332,0.63852,1.08881,0.96666,0.93825,0.97867,0.70673,1.04936,0.49655,1.04747,0.0002674,0.0002674,0.0002674
39,2333.72,1.17152,0.63133,1.09093,0.96763,0.94456,0.97961,0.70855,1.04509,0.48719,1.04707,0.0002476,0.0002476,0.0002476
40,2393.83,1.15871,0.62429,1.08423,0.97185,0.9448,0.98176,0.72043,1.01442,0.47847,1.03026,0.0002278,0.0002278,0.0002278
41,2445.01,1.00732,0.49963,1.02068,0.96998,0.94108,0.98031,0.71383,1.03311,0.48642,1.03795,0.000208,0.000208,0.000208
42,2492.98,0.96879,0.4791,1.00483,0.97191,0.94695,0.98326,0.71782,1.04226,0.47769,1.04326,0.0001882,0.0001882,0.0001882
43,2541.1,0.96678,0.46703,1.00395,0.97092,0.94881,0.9827,0.71602,1.04148,0.47272,1.04239,0.0001684,0.0001684,0.0001684
44,2588.31,0.94773,0.46002,0.99268,0.97722,0.94839,0.9843,0.72957,1.00605,0.4628,1.02919,0.0001486,0.0001486,0.0001486
45,2635.55,0.93864,0.45632,0.99157,0.97306,0.95057,0.98445,0.73105,1.01037,0.46164,1.03125,0.0001288,0.0001288,0.0001288
46,2682.46,0.9268,0.44649,0.98397,0.97425,0.95018,0.98434,0.73933,0.9682,0.45515,1.01343,0.000109,0.000109,0.000109
47,2729.67,0.91008,0.43928,0.97832,0.97569,0.94526,0.98507,0.74337,0.96549,0.44994,1.01068,8.92e-05,8.92e-05,8.92e-05
48,2777.18,0.89702,0.43574,0.97306,0.97405,0.94815,0.98425,0.74442,0.9573,0.44833,1.0092,6.94e-05,6.94e-05,6.94e-05
49,2825.04,0.89029,0.42675,0.9664,0.97239,0.95123,0.98376,0.74914,0.94248,0.4445,1.00629,4.96e-05,4.96e-05,4.96e-05
50,2872.17,0.87568,0.4221,0.96604,0.97417,0.95291,0.98613,0.74979,0.94391,0.44077,1.00432,2.98e-05,2.98e-05,2.98e-05
